id,lat,lon,timestamp,src,title,caption
011,37.74635833,-119.53088333,2025-08-08T10:09-07:00,photos/010.jpeg,Up the Cables,"Some 15 hours after leaving San Francisco, we were now 400 feet from the top of Half Dome. With little hesitation – and perhaps partly motivated by wanting to get this over with – my kids lurched toward the cables and began their ascent. I barely had a moment to snap this photo."
012,37.74561389,-119.53292222,2025-08-08T10:50-07:00,photos/011.jpeg,Nearing the Top,"During the ascent, I didn't take any photos because my hands were glued to the cables. The only moment I wished I had my phone out was when someone way ahead of me lost their water bottle. Everyone sort of froze as the hard plastic bottle tumbled loudly down our left side. A friendly woman behind me on the cables, whom I had been chatting with, said to me, ""I am NOT going to watch that bottle fall."" I can understand why – the bottle kept falling, and falling, and falling, until it disappeared down the steep side of Half Dome. It was an amusing-not-amusing reminder of just how sharp the drop-off was. Not that we needed any more motivation to get off these cables, but it wasn't long after that we neared the summit and the climb leveled off. (Photo by Griffin)"
013,37.74580278,-119.53347778,2025-08-08T10:53-07:00,videos/top.mp4,Summit of Half Dome,"Shortly before 11 a.m., we reached the top of Half Dome. On this beautiful, clear day, the hills, mountains and valleys of the High Sierras seemed to roll on forever. (Video by Griffin)"
014,37.74611389,-119.53305833,2025-08-08T11:23-07:00,photos/012.jpeg,Proud Papa Bear,"My first profound moment with any mountain was in October 1997, when my dad took me to Nepal. It was there while in Pokhara, near the Annapurna region, that I first laid eyes on Fishtail Mountain (Machapuchare). I had never seen a mountain pierce the sky like that. That trip with my father cemented in me this thing about mountains and peaks, and the marathon treks one must embark on to access these views and perspectives. So I was thankful to be a part of my kids' Half Dome experience and perhaps pass down a bit of what my father gave to me."
015,37.74622778,-119.53120556,2025-08-08T12:10-07:00,photos/013.jpeg,Time to Descend,"That moment of meaning quickly gave way to the concensus desire to get off this rock. The sun was now blazing, the effects of almost no sleep overtook the adrenaline that powered us up the cables, and we still had more than 8 miles to go. After half an hour on the summit, we descended. Whitney went backwards down the cables, which many folks find easier to do."
016,37.74622778,-119.53120556,2025-08-08T12:20-07:00,photos/014.jpeg,Crowded Cables,"When we ascended at around 10 a.m., only a handful of folks were descending the cables. Now that it was past noon, there was a traffic jam of folks going in both directions. It wasn't a big deal because most everyone was polite and communicative – ""Can I pass you up?"" or some version of that enabled folks who wanted to rest to rest and those who had ants in their pants to keep moving. I also know there's been some debate about whether or not to use a harness. I was surprised to see many people using harnesses, clipping in and out as they passed each pole. During my descent, it seemed like roughly half the hikers were using a harness. And it didn't really slow anyone down. (Photo by Griffin)"
017,37.73350649,-119.51384244,2025-08-08T15:11-07:00,videos/hothead.mp4,Overheating,"After 11 hours into our hike, I could feel my system crashing amid the high temperatures and inadequate fueling. So we got water from the Merced River near Little Yosemite Valley Campground (the last spot to filter water on the way up). (Video by Griffin)"
018,37.72681130,-119.54438021,2025-08-08T17:22-07:00,photos/015.jpeg,Vernal Fall in Daylight,"The National Park Service website says ""most hikers"" do the round-trip hike to Half Dome in 10 to 12 hours. Here I am trekking alongside Vernal Fall during hour 13. Cleary, my kids would have been back at the car by now if not for me. I guess this is the bonding-over-exhaustion part. (Photo by Griffin)"
019,37.738409,-119.569432,2025-08-08T18:14-07:00,videos/back_on_bikes.mp4,Back to Curry Village,"We made it back, intact. Whitney was dreaming of sleep. I was dreaming of cocktails. Not sure what was top of Grif's mind. No matter. We reached the top, enabled by our ability to endure 14 hours of one foot in front of the other. Next up: Mt. Whitney. (Video by Griffin)"
020,37.738409,-119.569432,2025-08-08T18:14-07:00,photos/016.jpeg,Half Dome,"Until we meet again ... (Photo by Whitney)"
